COMMODITY,STATENAME,MANDINAME,CENTRENAME,DATAPERCENTAGE
ONION,UTTAR PRADESH,SHAHGANJ,VARANASI,77.0028818443804
ONION,UTTAR PRADESH,KHAIR,AGRA,76.4265129682997
ONION,UTTAR PRADESH,PARTAVAL,VARANASI,76.25360230547551
ONION,UTTAR PRADESH,CHHIBRAMAU(KANNUJ),KANPUR,76.0806916426513
ONION,UTTAR PRADESH,ORAI,KANPUR,75.9077809798271
ONION,UTTAR PRADESH,ROBERTSGANJ,VARANASI,75.61959654178675
ONION,UTTAR PRADESH,BANDA,KANPUR,74.98559077809799
ONION,UTTAR PRADESH,ETAH,AGRA,74.52449567723343
ONION,UTTAR PRADESH,CHANDOLI,LUCKNOW,73.94812680115274
ONION,UTTAR PRADESH,FIROZABAD,AGRA,73.48703170028818
ONION,UTTAR PRADESH,HAATHRAS,AGRA,73.37175792507205
ONION,UTTAR PRADESH,DEVARIYA,LUCKNOW,73.14121037463977
ONION,UTTAR PRADESH,JAUNPUR,VARANASI,73.14121037463977
ONION,UTTAR PRADESH,FARUKHABAD,KANPUR,72.79538904899135
ONION,UTTAR PRADESH,VARANASI(F&V),VARANASI,71.81556195965419
ONION,UTTAR PRADESH,JAFARGANJ,KANPUR,71.00864553314122
ONION,UTTAR PRADESH,SITAPUR,LUCKNOW,69.85590778097983
ONION,UTTAR PRADESH,BHARUASUMERPUR,KANPUR,69.45244956772333
ONION,UTTAR PRADESH,MAHOBA,KANPUR,69.39481268011527
ONION,UTTAR PRADESH,BHARTHNA,KANPUR,69.39481268011527
ONION,UTTAR PRADESH,SAHIYAPUR,LUCKNOW,69.22190201729107
ONION,UTTAR PRADESH,JAYAS,LUCKNOW,68.93371757925073
ONION,UTTAR PRADESH,BINDKI,KANPUR,68.53025936599424
ONION,UTTAR PRADESH,CHOUBEPUR,VARANASI,68.47262247838617
ONION,UTTAR PRADESH,MAUDAHA,KANPUR,68.47262247838617
ONION,UTTAR PRADESH,SIRSAGANJ,AGRA,67.89625360230548
ONION,UTTAR PRADESH,KAYAMGANJ,AGRA,66.97406340057637
ONION,UTTAR PRADESH,FAIZABAD,LUCKNOW,66.45533141210375
ONION,UTTAR PRADESH,MATHURA,AGRA,66.22478386167147
ONION,UTTAR PRADESH,SHIKOHABAD,AGRA,65.64841498559078
ONION,UTTAR PRADESH,AKBARPUR,KANPUR,64.84149855907782
ONION,UTTAR PRADESH,RAATH,KANPUR,64.32276657060518
ONION,UTTAR PRADESH,SAFDARGANJ,LUCKNOW,64.09221902017292
ONION,UTTAR PRADESH,BIJNAUR,LUCKNOW,64.09221902017292
ONION,UTTAR PRADESH,BALRAMPUR,LUCKNOW,63.861671469740635
ONION,UTTAR PRADESH,ACHNERA,AGRA,62.939481268011534
ONION,UTTAR PRADESH,KHAIRAGARH,AGRA,62.76657060518732
ONION,UTTAR PRADESH,CHORICHORA,VARANASI,62.70893371757925
ONION,UTTAR PRADESH,BANGARMAU,KANPUR,60.0
ONION,UTTAR PRADESH,KOPAGANJ,VARANASI,59.2507204610951
ONION,UTTAR PRADESH,FATEHPUR SIKRI,AGRA,58.847262247838614
ONION,UTTAR PRADESH,UJHANI,AGRA,58.27089337175793
ONION,UTTAR PRADESH,BABERU,KANPUR,57.636887608069166
ONION,UTTAR PRADESH,VISWAN,LUCKNOW,55.850144092219026
ONION,UTTAR PRADESH,FATEHABAD,AGRA,55.5043227665706
ONION,UTTAR PRADESH,ANWALA,AGRA,54.98559077809798
ONION,UTTAR PRADESH,RURA,KANPUR,54.46685878962536
ONION,UTTAR PRADESH,CHITWADAGAON,VARANASI,54.40922190201729
ONION,UTTAR PRADESH,TUNDLA,AGRA,54.351585014409224
ONION,UTTAR PRADESH,GHIRAUR,AGRA,54.351585014409224
ONION,UTTAR PRADESH,CHAANDPUR,VARANASI,53.89048991354467
ONION,UTTAR PRADESH,DIVAI,AGRA,53.71757925072046
ONION,UTTAR PRADESH,ANANDNAGAR,VARANASI,52.622478386167145
ONION,UTTAR PRADESH,JANGIPURA,VARANASI,52.564841498559076
ONION,UTTAR PRADESH,NAANPARA,LUCKNOW,52.10374639769453
ONION,UTTAR PRADESH,JAGNAIR,AGRA,51.527377521613836
ONION,UTTAR PRADESH,SEHJANWA,VARANASI,50.778097982708935
ONION,UTTAR PRADESH,SOHARATGARH,VARANASI,49.56772334293948
ONION,UTTAR PRADESH,KHALILABAD,VARANASI,49.106628242074926
ONION,UTTAR PRADESH,GADAURA,KANPUR,48.876080691642656
ONION,UTTAR PRADESH,GOLAGOKARNATH,LUCKNOW,48.357348703170025
ONION,UTTAR PRADESH,SHAHABAD(NEW MANDI),KANPUR,48.357348703170025
ONION,UTTAR PRADESH,SAMSABAD,KANPUR,48.299711815561956
ONION,UTTAR PRADESH,AWAGARH,AGRA,48.242074927953894
ONION,UTTAR PRADESH,HARGAON (LAHARPUR),LUCKNOW,48.242074927953894
ONION,UTTAR PRADESH,MUSKARA,KANPUR,47.72334293948127
ONION,UTTAR PRADESH,CHARRA,AGRA,46.10951008645533
ONION,UTTAR PRADESH,MUGRABAADSHAHPUR,VARANASI,45.30259365994237
ONION,UTTAR PRADESH,NAUGARH,VARANASI,44.207492795389044
ONION,UTTAR PRADESH,JARAR,AGRA,43.7463976945245
ONION,UTTAR PRADESH,VILTHARAROAD,VARANASI,42.76657060518732
ONION,UTTAR PRADESH,NAWABGANJ,LUCKNOW,41.09510086455332
ONION,UTTAR PRADESH,RASDA,LUCKNOW,41.03746397694524
ONION,UTTAR PRADESH,MEHMOODABAD,LUCKNOW,40.23054755043228
ONION,UTTAR PRADESH,JHIJHANK,KANPUR,39.2507204610951
ONION,UTTAR PRADESH,GANJDUDWARA,AGRA,38.90489913544668
ONION,UTTAR PRADESH,ACHALDA,KANPUR,38.73198847262248
ONION,UTTAR PRADESH,SHADABAD,AGRA,38.443804034582136
ONION,UTTAR PRADESH,TANDA,VARANASI,38.21325648414985
ONION,UTTAR PRADESH,NAUTNAVA,VARANASI,36.31123919308357
ONION,UTTAR PRADESH,SAIDPUR,VARANASI,34.12103746397695
ONION,UTTAR PRADESH,YUSUFPUR,VARANASI,33.25648414985591
ONION,UTTAR PRADESH,ALIGANJ,LUCKNOW,30.605187319884724
ONION,UTTAR PRADESH,BEWAR,KANPUR,29.798270893371757
ONION,UTTAR PRADESH,JASVANTNAGAR,AGRA,29.62536023054755
ONION,UTTAR PRADESH,DUDHI,VARANASI,28.24207492795389
ONION,UTTAR PRADESH,VILASPUR,AGRA,27.838616714697405
ONION,UTTAR PRADESH,SHAHASWAN,AGRA,27.6657060518732
ONION,UTTAR PRADESH,ATRAULI,LUCKNOW,27.089337175792505
ONION,UTTAR PRADESH,JAHANABAD,KANPUR,26.74351585014409
ONION,UTTAR PRADESH,SANDI,KANPUR,24.438040345821328
ONION,UTTAR PRADESH,GOPIGANJ,VARANASI,22.76657060518732
ONION,UTTAR PRADESH,DIBIAPUR,KANPUR,20.634005763688762
ONION,UTTAR PRADESH,PURWA,LUCKNOW,19.423631123919307
ONION,UTTAR PRADESH,RUDAULI,LUCKNOW,19.020172910662826
ONION,UTTAR PRADESH,UTTARIPURA,KANPUR,18.55907780979827
ONION,UTTAR PRADESH,VARIPAAL,KANPUR,18.443804034582133
ONION,UTTAR PRADESH,SANDILA,LUCKNOW,17.348703170028816
ONION,UTTAR PRADESH,TULSIPUR,LUCKNOW,17.060518731988473
ONION,UTTAR PRADESH,LALGANJ,VARANASI,16.59942363112392
ONION,UTTAR PRADESH,AHIRORA,KANPUR,16.138328530259365
ONION,UTTAR PRADESH,RISIA,LUCKNOW,15.15850144092219
ONION,UTTAR PRADESH,MAIGALGANJ,LUCKNOW,15.043227665706052
ONION,UTTAR PRADESH,UTRAULA,LUCKNOW,13.487031700288185
ONION,UTTAR PRADESH,KHAGA,KANPUR,13.0835734870317
ONION,UTTAR PRADESH,KAMLAGANJ,KANPUR,7.665706051873198
ONION,UTTAR PRADESH,TIKONIA,LUCKNOW,7.435158501440922
ONION,UTTAR PRADESH,MOHAMMDI,LUCKNOW,7.377521613832854
ONION,UTTAR PRADESH,MISRIKH,LUCKNOW,5.129682997118155
ONION,UTTAR PRADESH,MOHAMADABAD,VARANASI,4.899135446685879
ONION,UTTAR PRADESH,PANCHPEDWA,LUCKNOW,3.976945244956772
ONION,UTTAR PRADESH,WANSI,VARANASI,1.729106628242075
ONION,UTTAR PRADESH,PAYAGPUR,LUCKNOW,1.6714697406340056
ONION,UTTAR PRADESH,VARANASI(GRAIN),VARANASI,1.2103746397694526
ONION,UTTAR PRADESH,KURARA,KANPUR,1.095100864553314
ONION,UTTAR PRADESH,MIHIPURWA,LUCKNOW,0.9798270893371758
ONION,UTTAR PRADESH,TANDA(RAMPUR),VARANASI,0.9798270893371758
ONION,UTTAR PRADESH,BHEHJOI,VARANASI,0.9221902017291067
ONION,UTTAR PRADESH,SIKANDRARAAU,AGRA,0.8645533141210375
ONION,UTTAR PRADESH,BABRALA,AGRA,0.7492795389048991
ONION,UTTAR PRADESH,BACHRANWA,LUCKNOW,0.2881844380403458
ONION,UTTAR PRADESH,KISHUNPUR,VARANASI,0.2881844380403458
ONION,UTTAR PRADESH,MAHOLI,LUCKNOW,0.05763688760806917
ONION,UTTAR PRADESH,KALPI,KANPUR,0.05763688760806917
POTATO,GUJARAT,SURAT,SURAT,82.47838616714698
POTATO,GUJARAT,VADHVAN,AHMEDABAD,81.67146974063401
POTATO,GUJARAT,BHARUCH,SURAT,79.88472622478386
POTATO,GUJARAT,AHMEDABAD(CHIMANBHAI PATAL MARKET VASANA),AHMEDABAD,79.76945244956772
POTATO,GUJARAT,GONDAL(VEG.MARKET GONDAL),RAJKOT,78.90489913544668
POTATO,GUJARAT,KHAMBHAT(VEG YARD KHAMBHAT),AHMEDABAD,78.21325648414985
POTATO,GUJARAT,PADRA,AHMEDABAD,71.23919308357348
POTATO,GUJARAT,VADODARA(SAYAJIPURA),AHMEDABAD,69.3371757925072
POTATO,GUJARAT,RAJKOT(GHEE PEETH),RAJKOT,63.919308357348704
POTATO,GUJARAT,MEHSANA(MEHSANA VEG),AHMEDABAD,59.827089337175785
POTATO,GUJARAT,DEESA(DEESA VEG YARD),AHMEDABAD,57.23342939481269
POTATO,GUJARAT,KAPADVANJ,AHMEDABAD,44.03458213256484
POTATO,GUJARAT,NADIYAD(PIPLAG),AHMEDABAD,43.68876080691643
POTATO,GUJARAT,BILIMORA,SURAT,32.44956772334294
POTATO,GUJARAT,DHOLKA(KOTH),AHMEDABAD,23.112391930835734
POTATO,GUJARAT,DHORAJI,RAJKOT,20.51873198847262
POTATO,GUJARAT,DHARI,RAJKOT,13.602305475504323
POTATO,GUJARAT,BORSAD(VEG YARD BARSAD),AHMEDABAD,13.544668587896252
POTATO,GUJARAT,RAJKOT,RAJKOT,9.971181556195965
POTATO,GUJARAT,MANSA(MANAS VEG YARD),AHMEDABAD,8.876080691642652
POTATO,GUJARAT,VIJAPUR(VEG),AHMEDABAD,4.14985590778098
POTATO,GUJARAT,DHARI(CHALALA),RAJKOT,0.69164265129683
POTATO,GUJARAT,SIDDHPUR,AHMEDABAD,0.5763688760806917
POTATO,GUJARAT,GODHRA,AHMEDABAD,0.345821325648415
POTATO,GUJARAT,BABRA,RAJKOT,0.1729106628242075
POTATO,GUJARAT,NADIAD,AHMEDABAD,0.11527377521613834
POTATO,GUJARAT,ANKLESHWAR,SURAT,0.05763688760806917
POTATO,GUJARAT,ANKLAV,AHMEDABAD,0.05763688760806917
POTATO,HIMACHAL PRADESH,KULLU,MANDI,73.19884726224784
POTATO,HIMACHAL PRADESH,BHUNTAR,MANDI,69.9135446685879
POTATO,HIMACHAL PRADESH,SOLAN,SHIMLA,64.09221902017292
POTATO,HIMACHAL PRADESH,DHANOTU (MANDI),DHARAMSHALA,63.112391930835734
POTATO,HIMACHAL PRADESH,HAMIRPUR,MANDI,56.138328530259365
POTATO,HIMACHAL PRADESH,MANDI(MANDI),MANDI,56.080691642651296
POTATO,HIMACHAL PRADESH,KANGRA,DHARAMSHALA,54.92795389048991
POTATO,HIMACHAL PRADESH,HAMIRPUR(NADAUN),MANDI,52.79538904899136
POTATO,HIMACHAL PRADESH,CHAMBA,DHARAMSHALA,52.10374639769453
POTATO,HIMACHAL PRADESH,MANDI(TAKOLI),MANDI,39.42363112391931
POTATO,HIMACHAL PRADESH,KANGRA(JASSOUR),DHARAMSHALA,37.636887608069166
POTATO,HIMACHAL PRADESH,PALAMPUR,DHARAMSHALA,36.48414985590778
POTATO,HIMACHAL PRADESH,SHIMLA,SHIMLA,34.5821325648415
POTATO,HIMACHAL PRADESH,SOLAN(NALAGARH),SHIMLA,26.39769452449568
POTATO,HIMACHAL PRADESH,KANGRA(JAISINGHPUR),DHARAMSHALA,25.533141210374637
POTATO,HIMACHAL PRADESH,KANGRA(BAIJNATH),DHARAMSHALA,22.13256484149856
POTATO,HIMACHAL PRADESH,CHAIL CHOWK,MANDI,21.671469740634006
POTATO,HIMACHAL PRADESH,SHIMLA AND KINNAUR(RAMPUR),SHIMLA,19.423631123919307
POTATO,HIMACHAL PRADESH,KANGRA(NAGROTA BAGWAN),DHARAMSHALA,16.368876080691646
POTATO,HIMACHAL PRADESH,KULLU(CHAURI BIHAL),MANDI,9.740634005763688
POTATO,HIMACHAL PRADESH,JWALAJI,DHARAMSHALA,6.85878962536023
POTATO,HIMACHAL PRADESH,ROHROO,SHIMLA,5.187319884726225
POTATO,HIMACHAL PRADESH,BANDROL,MANDI,4.207492795389049
POTATO,HIMACHAL PRADESH,SHIMLA AND KINNAUR(THEOG),SHIMLA,2.5936599423631126
POTATO,HIMACHAL PRADESH,SHIMLA AND KINNAUR(NERWA),SHIMLA,0.8645533141210375
POTATO,HIMACHAL PRADESH,SOLAN(RAJGARH),SOLAN,0.4034582132564841
POTATO,HIMACHAL PRADESH,SHIMLA AND KINNAUR(KOTI),SHIMLA,0.2881844380403458
POTATO,HIMACHAL PRADESH,KULLU(PATLI KUHAL),MANDI,0.05763688760806917
POTATO,MADHYA PRADESH,LASHKAR(F&V),GWALIOR,90.95100864553314
POTATO,MADHYA PRADESH,DEWAS(F&V),INDORE,87.78097982708934
POTATO,MADHYA PRADESH,SANWER,INDORE,86.80115273775216
POTATO,MADHYA PRADESH,BHOPAL(F&V),BHOPAL,84.95677233429394
POTATO,MADHYA PRADESH,BURHANPUR(F&V),INDORE,84.38040345821327
POTATO,MADHYA PRADESH,HAATPIPLIYA,INDORE,83.97694524495677
POTATO,MADHYA PRADESH,GUNA(F&V),BHOPAL,82.2478386167147
POTATO,MADHYA PRADESH,JABALPUR(F&V),JABALPUR,81.55619596541787
POTATO,MADHYA PRADESH,DHAMNOD,INDORE,81.4985590778098
POTATO,MADHYA PRADESH,SAGAR(F&V),SAGAR,81.4985590778098
POTATO,MADHYA PRADESH,MORENA(F&V),GWALIOR,74.23631123919309
POTATO,MADHYA PRADESH,HARDA(F&V),BHOPAL,73.8328530259366
POTATO,MADHYA PRADESH,INDORE(F&V),INDORE,68.7608069164265
POTATO,MADHYA PRADESH,NARSINGHGARH,BHOPAL,65.70605187319885
POTATO,MADHYA PRADESH,DEORI,SAGAR,62.65129682997118
POTATO,MADHYA PRADESH,UJJAIN(F&V),INDORE,58.61671469740634
POTATO,MADHYA PRADESH,SHIVPURI(F&V),GWALIOR,58.38616714697407
POTATO,MADHYA PRADESH,RAJGARH,BHOPAL,57.40634005763688
POTATO,MADHYA PRADESH,SYOPURKALAN(F&V),REWA,46.512968299711815
POTATO,MADHYA PRADESH,KUKSHI,INDORE,36.887608069164266
POTATO,MADHYA PRADESH,KHANDWA(F&V),INDORE,33.77521613832853
POTATO,MADHYA PRADESH,PETLAWAD,INDORE,29.221902017291068
POTATO,MADHYA PRADESH,DAMOH(F&V),SAGAR,28.357348703170025
POTATO,MADHYA PRADESH,PIPARIYA,BHOPAL,27.60806916426513
POTATO,MADHYA PRADESH,JHABUA,INDORE,25.878962536023053
POTATO,MADHYA PRADESH,SHAJAPUR(F&V),INDORE,25.878962536023053
POTATO,MADHYA PRADESH,BIAORA,BHOPAL,23.170028818443804
POTATO,MADHYA PRADESH,RATLAM(F&V),INDORE,21.32564841498559
POTATO,MADHYA PRADESH,KALAPIPAL,INDORE,9.740634005763688
POTATO,MADHYA PRADESH,PORSA(F&V),GWALIOR,8.530259365994237
POTATO,MADHYA PRADESH,SEHORE,BHOPAL,6.9164265129683
POTATO,MADHYA PRADESH,SHUJALPUR,BHOPAL,6.628242074927954
POTATO,MADHYA PRADESH,TIMARNI,BHOPAL,5.648414985590778
