STARTDATA,ENDDATA,MAX_PRICE,MIN_PRICE,MAXMINRATIO
2009-05-11,2009-06-23,15.0,11.0,1.3636363636363635
2009-05-18,2009-06-30,15.0,12.0,1.25
2009-05-25,2009-07-07,16.0,12.0,1.3333333333333333
2009-06-01,2009-07-14,16.0,13.0,1.2307692307692308
2009-06-08,2009-07-21,16.0,13.5,1.1851851851851851
2009-06-15,2009-07-28,16.0,14.0,1.1428571428571428
2009-06-22,2009-08-04,16.0,14.0,1.1428571428571428
2009-06-29,2009-08-11,16.0,14.0,1.1428571428571428
2009-07-06,2009-08-18,16.0,15.0,1.0666666666666667
2009-07-13,2009-08-25,16.547860422354383,15.0,1.1031906948236254
2009-07-20,2009-09-01,17.575768741690776,15.0,1.1717179161127185
2009-07-27,2009-09-08,18.614975613563878,15.0,1.2409983742375919
2009-08-03,2009-09-15,19.483835897815194,15.0,1.2989223931876797
2009-08-10,2009-09-22,19.967331312636425,15.072301164403186,1.324769926956742
2009-08-17,2009-09-29,20.0,15.584089815086124,1.2833601600934736
2009-08-24,2009-10-06,20.0,16.411245727927476,1.218676530201814
2009-08-31,2009-10-13,20.0,17.424360715094974,1.14781829457156
2009-09-07,2009-10-20,20.0,18.472381241586724,1.0826974464436756
2009-09-14,2009-10-27,20.0,18.32033484049085,1.0916831037278216
2009-09-21,2009-11-03,20.0,16.977549682868435,1.1780262978809855
2009-09-28,2009-11-10,20.0,15.282613053791664,1.3086767249556146
2009-10-05,2009-11-17,20.0,13.367320060842127,1.496186214511873
2009-10-12,2009-11-24,19.886633327310246,12.383972722413423,1.6058363316093192
2009-10-19,2009-12-01,21.0,12.383972722413423,1.695740169226363
2009-10-26,2009-12-08,21.0,12.383972722413423,1.695740169226363
2009-11-02,2009-12-15,21.0,12.383972722413423,1.695740169226363
2009-11-09,2009-12-22,21.0,11.0,1.9090909090909092
2009-11-16,2009-12-29,21.0,10.0,2.1
2009-11-23,2010-01-05,21.0,9.0,2.3333333333333335
2009-11-30,2010-01-12,21.0,6.0,3.5
2009-12-07,2010-01-19,20.0,6.0,3.3333333333333335
2009-12-14,2010-01-26,18.0,5.0,3.6
2009-12-21,2010-02-02,12.0,4.0,3.0
2009-12-28,2010-02-09,60.0,4.0,15.0
2010-01-04,2010-02-16,60.0,4.0,15.0
2010-01-11,2010-02-23,60.0,4.0,15.0
2010-01-18,2010-03-02,60.0,4.0,15.0
2010-01-25,2010-03-09,75.0,4.0,18.75
2010-02-01,2010-03-16,75.0,3.0,25.0
2010-02-08,2010-03-23,75.0,3.0,25.0
2010-02-15,2010-03-30,75.0,3.0,25.0
2010-02-22,2010-04-06,75.0,3.0,25.0
2010-03-01,2010-04-13,75.0,3.0,25.0
2010-03-08,2010-04-20,75.0,3.0,25.0
2010-03-15,2010-04-27,36.0,3.0,12.0
2010-03-22,2010-05-04,36.0,3.0,12.0
2010-03-29,2010-05-11,36.0,4.0,9.0
2010-04-05,2010-05-18,36.0,4.0,9.0
2010-04-12,2010-05-25,36.0,4.0,9.0
2010-04-19,2010-06-01,36.0,4.0,9.0
2010-04-26,2010-06-08,7.0,4.386138606567983,1.5959367972361644
2010-05-03,2010-06-15,7.0,5.997828839968169,1.1670889894945968
2010-05-10,2010-06-22,6.648022110017657,5.9985499364691774,1.108271529024024
2010-05-17,2010-06-29,6.881395132755041,6.012860946591648,1.1444460788097415
2010-05-24,2010-07-06,7.15018690207718,6.061851403644037,1.1795384653901113
2010-05-31,2010-07-13,7.454194409534148,6.146918125610339,1.212671823051817
2010-06-07,2010-07-20,7.793175947467263,6.267969310649514,1.2433334563757938
2010-06-14,2010-07-27,8.166841426080294,6.4248991017128,1.2711236856471588
2010-06-21,2010-08-03,8.57483963003989,6.617584789606773,1.2957657366940092
2010-06-28,2010-08-10,9.016741223311296,6.845883320476003,1.3171041341505585
2010-07-05,2010-08-17,9.492015749772346,7.109626897161081,1.335093372278448
2010-07-12,2010-08-24,10.0,7.408617387762328,1.3497795170956135
2010-07-19,2010-08-31,10.539853710596256,7.742619146183827,1.3612775614555608
2010-07-26,2010-09-07,11.11049625472005,8.111349692332535,1.369746919581403
2010-08-02,2010-09-14,11.710514075087659,8.514467468622072,1.3753665884852824
2010-08-09,2010-09-21,12.33802176864176,8.951555543696761,1.3783103627536086
2010-08-16,2010-09-28,12.990447283420801,9.42209960686878,1.3787210733742052
2010-08-23,2010-10-05,13.664188016852055,9.925457774983077,1.3766808873332146
2010-08-30,2010-10-12,14.35403721784493,10.460818422688883,1.372171529783166
2010-09-06,2010-10-19,15.052179285921564,11.027140101265156,1.3650120654760352
2010-09-13,2010-10-26,15.746321828185678,11.623063994008666,1.3547479250137853
2010-09-20,2010-11-02,16.415954532886136,12.24678305440565,1.3404299284113366
