STARTDATE,ENDDATE,MEAN,STD,VALUE,lastYear
2018-04-29,2018-06-11,217.249999999858,142.81942973978732,303.79545454545456,Normal
2018-05-06,2018-06-18,265.1863113894288,181.91520113921567,418.263479623258,Normal
2018-05-13,2018-06-25,318.3891733422487,222.98220801867544,557.4907523505307,Anomaly
2018-05-20,2018-07-02,382.32477940285474,260.11404577952,696.6952978050762,Anomaly
2018-05-27,2018-07-09,436.33235516043055,279.6222205900005,782.8089341687125,Anomaly
2018-06-03,2018-07-16,483.7869006149759,301.97318983935253,870.354388714167,Anomaly
2018-06-10,2018-07-23,506.19977940285474,299.27803305499714,895.7634796232579,Anomaly
2018-06-17,2018-07-30,523.6574612689104,292.0891522341525,908.0179172674459,Anomaly
2018-06-24,2018-08-06,525.6288417404752,271.5840768250461,882.7224627219913,Anomaly
2018-07-01,2018-08-13,538.3409629525963,238.04200835037048,836.0860990856277,Anomaly
2018-07-08,2018-08-20,551.5947508313843,225.24180182244046,820.5860990856277,Anomaly
2018-07-15,2018-08-27,556.1174781041115,209.96153773959804,792.2224627219913,Anomaly
2018-07-22,2018-09-03,551.9470235586568,187.68365221665618,749.5633718129004,Anomaly
2018-07-29,2018-09-10,533.1060606060606,171.07896645960713,702.6818181818181,Normal
2018-08-05,2018-09-17,505.49242424242425,146.958978066798,643.1363636363636,Normal
2018-08-12,2018-09-24,456.12121212121207,127.17693284401658,577.5454545454545,Normal
2018-08-19,2018-10-01,404.99242424242425,117.16620671461024,533.0681818181819,Anomaly
2018-08-26,2018-10-08,365.74242424242425,113.55356674135272,504.3181818181818,Anomaly
2018-09-02,2018-10-15,337.87121212121207,121.36638956811929,497.15909090909093,Anomaly
2018-09-09,2018-10-22,329.70454545454544,132.2336461543196,511.27272727272725,Anomaly
2018-09-16,2018-10-29,325.4408753208302,147.9483508158617,530.0173073817671,Anomaly
2018-09-23,2018-11-05,318.319663199618,157.00015444708566,532.9718528363126,Anomaly
2018-09-30,2018-11-12,309.1681480480347,157.66444742314894,518.0400346544943,Anomaly
2018-10-07,2018-11-19,293.47950828820336,147.0178680821093,477.8582164726762,Anomaly
2018-10-14,2018-11-26,266.4315710562251,128.34418402147728,405.81276192722163,Anomaly
2018-10-21,2018-12-03,240.00732863198272,107.97017033284163,330.63094374540344,Normal
2018-10-28,2018-12-10,214.9225139172132,86.67977783581003,253.1590909090909,Normal
2018-11-04,2018-12-17,190.38463512933438,70.82775111617187,193.4090909090909,Normal
2018-11-11,2018-12-24,176.30887755364503,70.4829416659994,153.63636363636363,Normal
2018-11-18,2018-12-31,167.59937859196796,75.95685948599906,124.70454545454545,Normal
2018-11-25,2019-01-07,160.2914480080199,84.53808399408996,110.7159090909091,Normal
2018-12-02,2019-01-14,150.90697831105024,92.99806947857392,97.94318181818181,Normal
2018-12-09,2019-01-21,144.22340191061826,100.74267031675826,93.30681818181819,Normal
2018-12-16,2019-01-28,135.9097591352875,102.30839578282998,86.39772727272727,Normal
2018-12-23,2019-02-04,130.9819329473608,98.23169647942227,80.42045454545455,Normal
2018-12-30,2019-02-11,123.06214011424684,91.25937276857388,72.5909090909091,Normal
2019-01-06,2019-02-18,110.85191284151955,79.13632898145305,59.86363636363637,Normal
2019-01-13,2019-02-25,106.74817808489735,73.76974440884409,55.46590909090909,Normal
2019-01-20,2019-03-04,103.4186326303519,68.25346320975436,50.92045454545455,Normal
2019-01-27,2019-03-11,101.24011850524097,66.60253194403118,45.14772727272727,Normal
2019-02-03,2019-03-18,101.33932892751339,70.93452584539796,43.17045454545455,Normal
2019-02-10,2019-03-25,98.94683246157139,75.02431310143365,41.59090909090909,Normal
2019-02-17,2019-04-01,101.16842337066232,80.2490792344328,45.29545454545455,Normal
2019-02-24,2019-04-08,105.67224950647201,87.22520089365312,47.40909090909091,Normal
2019-03-03,2019-04-15,113.61022630910271,100.37477262221859,47.90909090909091,Normal
2019-03-10,2019-04-22,126.4766736509811,113.7607108052106,48.70454545454545,Normal
2019-03-17,2019-04-29,132.47399870234077,118.4374414362153,49.90909090909091,Normal
2019-03-24,2019-05-06,135.84899870234077,120.60900920204917,49.65909090909091,Normal
2019-03-31,2019-05-13,142.0232411266187,124.4664956787747,50.47727272727273,Normal
2019-04-07,2019-05-20,147.76755930843686,126.14858940800973,51.11363636363637,Normal
2019-04-14,2019-05-27,150.1425593084369,121.1985334149792,52.77272727272727,Normal
2019-04-21,2019-06-03,156.11511299946903,119.85380420166157,57.11363636363637,Normal
2019-04-28,2019-06-10,177.0113636362571,134.93925079742155,71.86363636363636,Normal
2019-05-05,2019-06-17,221.58859717843524,167.74780013739286,110.86363636363636,Normal
2019-05-12,2019-06-24,272.2975618248683,200.758114038044,158.5909090909091,Normal
2019-05-19,2019-07-01,337.4896017223154,234.2509727869905,225.85906868069733,Normal
2019-05-26,2019-07-08,399.46303020626584,249.37652288888145,317.21869170740825,Normal
2019-06-02,2019-07-15,466.0372431381768,270.5752148344341,431.6291797986883,Normal
2019-06-09,2019-07-22,515.1821295018132,279.44707860790896,547.7882707077792,Normal
2019-06-16,2019-07-29,544.8947090831731,274.07606347837515,615.1519070714156,Normal
2019-06-23,2019-08-05,556.5209717095738,256.96810022273206,645.4473616168702,Normal
