COMMODITY,STATENAME,DATE,MONTH,YEAR
MUSTARD OIL,WEST BENGAL,2020-09-24,September,2020
MUSTARD OIL,WEST BENGAL,2020-09-23,September,2020
MUSTARD OIL,UTTAR PRADESH,2020-09-24,September,2020
MUSTARD OIL,UTTAR PRADESH,2020-09-23,September,2020
MUSTARD OIL,UTTAR PRADESH,2020-09-25,September,2020
MUSTARD OIL,UTTAR PRADESH,2020-09-24,September,2020
MUSTARD OIL,UTTAR PRADESH,2020-09-25,September,2020
MUSTARD OIL,UTTAR PRADESH,2020-09-24,September,2020
MUSTARD OIL,UTTAR PRADESH,2020-09-25,September,2020
MUSTARD OIL,UTTAR PRADESH,2020-09-24,September,2020
MUSTARD OIL,UTTAR PRADESH,2020-08-12,August,2020
MUSTARD OIL,UTTAR PRADESH,2020-08-11,August,2020
MUSTARD OIL,UTTAR PRADESH,2020-09-24,September,2020
MUSTARD OIL,UTTAR PRADESH,2020-09-23,September,2020
SUGAR,MAHARASHTRA,2020-09-25,September,2020
SUGAR,MAHARASHTRA,2020-09-24,September,2020
SUGAR,UTTAR PRADESH,2020-09-25,September,2020
SUGAR,UTTAR PRADESH,2020-09-24,September,2020
SUGAR,UTTAR PRADESH,2019-06-21,June,2019
SUGAR,UTTAR PRADESH,2019-06-20,June,2019
