DATE,VOLATILITY,VOLATILITY_SAMEMONTH,VOLATILITY_LASTMONTH,VOLATILITY_LASTYEAR,VOLATILITY_SUM,PRICE_SAMEMONTH,PRICE_LASTMONTH,PRICE_LASTYEAR,PRICE_SUM,SUM
2019-03-01,0.0046568172183077,0.0,1.0,0.0,1.0,0,0,0,0,1.0
2019-04-01,0.0020526644912839,0.0,1.0,0.0,1.0,0,0,0,0,1.0
2019-05-01,0.0009479596180698,0.0,1.0,0.0,1.0,0,0,0,0,1.0
2019-06-01,0.0022361621241248,0.0,1.0,0.0,1.0,0,0,0,0,1.0
2019-07-01,0.001236084361732,0.0,1.0,0.0,1.0,0,0,0,0,1.0
2019-08-01,0.0111300538609763,1.0,2.0,0.0,3.0,0,0,0,0,3.0
2019-09-01,0.000868999422692,1.0,2.0,0.0,3.0,0,0,0,0,3.0
2019-10-01,0.0054246792643877,2.0,2.0,0.0,4.0,0,0,0,0,4.0
2019-11-01,0.0033611072939898,2.0,2.0,0.0,4.0,0,0,0,0,4.0
2019-12-01,0.0041258207993565,2.0,2.0,0.0,4.0,0,0,0,0,4.0
2020-01-01,0.0066524151043262,2.0,2.0,0.0,4.0,0,0,0,0,4.0
2020-02-01,0.0044530618570929,2.0,2.0,0.0,4.0,0,0,1,1,5.0
2020-03-01,0.0036369098369245,2.0,1.0,0.0,3.0,0,0,3,3,6.0
2020-04-01,0.0058671445979456,2.0,1.0,0.0,3.0,0,0,8,8,11.0
2020-05-01,0.0089833000994405,3.0,1.0,0.0,4.0,0,0,12,12,16.0
2020-06-01,0.0029610388565944,3.0,1.0,0.0,4.0,0,0,17,17,21.0
2020-07-01,0.0028467195623893,3.0,1.0,0.0,4.0,0,0,20,20,24.0
2020-08-01,0.0020001007411133,2.0,0.0,0.0,2.0,0,0,20,20,22.0
2020-09-01,0.0042100763460736,2.0,0.0,0.0,2.0,0,0,20,20,22.0
2020-10-01,0.0072791505364932,1.0,0.0,0.0,1.0,4,0,20,24,25.0
2020-11-01,0.0027464318328475,1.0,0.0,0.0,1.0,6,3,20,29,30.0
2020-12-01,0.0076007220994794,1.0,0.0,0.0,1.0,8,5,20,33,34.0
2021-01-01,0.0038765488929467,1.0,0.0,0.0,1.0,8,6,20,34,35.0
2021-02-01,0.0031199798089344,1.0,0.0,0.0,1.0,7,6,19,32,33.0
2021-03-01,0.007255023376421,1.0,0.0,0.0,1.0,2,5,14,21,22.0
2021-04-01,0.0085112561048797,1.0,0.0,0.0,1.0,3,1,14,18,19.0
2021-05-01,0.0054668547824449,0.0,0.0,0.0,0.0,6,3,13,22,22.0
2021-06-01,0.000911188210049,0.0,0.0,0.0,0.0,7,5,14,26,26.0
