DATE,VOLATILITY,VOLATILITY_SAMEMONTH,VOLATILITY_LASTMONTH,VOLATILITY_LASTYEAR,VOLATILITY_SUM,PRICE_SAMEMONTH,PRICE_LASTMONTH,PRICE_LASTYEAR,PRICE_SUM,SUM,STATENAME,MANDINAME
2017-01-01,0.0043719107170198,4.0,2.0,0.0,6.0,3,6,0,9,15.0,WEST BENGAL,KASIPUR
2017-01-01,0.0086908081785582,4.0,3.0,0.0,7.0,0,8,0,8,15.0,WEST BENGAL,KATWA
2017-02-01,0.00933422012637,1.0,3.0,0.0,4.0,20,18,0,38,42.0,WEST BENGAL,DURGAPUR
2017-02-01,0.006625899670308,1.0,1.0,0.0,2.0,20,20,0,40,42.0,UTTAR PRADESH,CHHIBRAMAU(KANNUJ)
2017-02-01,0.0013775519552906,1.0,2.0,0.0,3.0,20,18,0,38,41.0,UTTAR PRADESH,PRATAPGARH
2017-02-01,0.0203350944933366,4.0,3.0,0.0,7.0,0,3,0,3,10.0,WEST BENGAL,KATWA
2017-02-01,0.0063847448246781,4.0,2.0,0.0,6.0,0,1,0,1,7.0,WEST BENGAL,KASIPUR
2017-03-01,0.0043715113714666,1.0,3.0,0.0,4.0,20,20,1,41,45.0,WEST BENGAL,DURGAPUR
2017-03-01,0.0101121551783605,1.0,1.0,0.0,2.0,20,20,3,43,45.0,UTTAR PRADESH,CHHIBRAMAU(KANNUJ)
2017-03-01,0.0102332365005538,1.0,2.0,0.0,3.0,20,20,1,41,44.0,UTTAR PRADESH,PRATAPGARH
2017-03-01,0.0301564876056461,5.0,3.0,1.0,9.0,0,0,0,0,9.0,WEST BENGAL,KASIPUR
2017-03-01,0.0112575555381451,4.0,3.0,0.0,7.0,0,0,0,0,7.0,WEST BENGAL,KATWA
2017-04-01,0.0096486572658773,1.0,1.0,0.0,2.0,20,20,7,47,49.0,UTTAR PRADESH,CHHIBRAMAU(KANNUJ)
2017-04-01,0.0147341917713192,1.0,3.0,0.0,4.0,20,20,2,42,46.0,WEST BENGAL,DURGAPUR
